ID	Nom	Prénom	H/F	Parti	Gouvernement	Wikipedia	Poste
1	Philippe	Édouard	H	DVD	1	https://fr.wikipedia.org/wiki/%C3%89douard_Philippe	Premier ministre
2	de Rugy	François	H	REM	1	https://fr.wikipedia.org/wiki/Fran%C3%A7ois_de_Rugy	Ministre d'État, ministre de la Transition écologique et solidaire
3	Belloubet	Nicole	F	DVG	1	https://fr.wikipedia.org/wiki/Nicole_Belloubet	Garde des Sceaux, ministre de la Justice
4	Le Drian	Jean-Yves	H	DVG	1	https://fr.wikipedia.org/wiki/Jean-Yves_Le_Drian	Ministre de l'Europe et des Affaires étrangères
5	Parly	Florence	F	DVG	1	https://fr.wikipedia.org/wiki/Florence_Parly	Ministre des Armées
6	Castaner	Christophe	H	REM	1	https://fr.wikipedia.org/wiki/Christophe_Castaner	Ministre de l'Intérieur
7	Gourault	Jacqueline 	F	MoDem	1	https://fr.wikipedia.org/wiki/Jacqueline_Gourault	Ministre de la Cohésion des Territoires et des Relations avec les Collectivités Territoriales 
8	Buzyn	Agnès	F	REM	1	https://fr.wikipedia.org/wiki/Agn%C3%A8s_Buzyn	Ministre des Solidarités et de la Santé
9	Le Maire	Bruno	H	REM	1	https://fr.wikipedia.org/wiki/Bruno_Le_Maire	Ministre de l'Économie et des Finances
10	Riester	Franck	H	Agir	1	https://fr.wikipedia.org/wiki/Franck_Riester	Ministre de la Culture
11	Pénicaud	Muriel	F	REM	1	https://fr.wikipedia.org/wiki/Muriel_P%C3%A9nicaud	Ministre du Travail
12	Blanquer	Jean-Michel	H	REM	1	https://fr.wikipedia.org/wiki/Jean-Michel_Blanquer	Ministre de l'Éducation nationale et de la Jeunesse
13	Guillaume	Didier	H	DVG	1	https://fr.wikipedia.org/wiki/Didier_Guillaume	Ministre de l'Agriculture et de l'Alimentation
14	Darmanin	Gérald	H	REM	1	https://fr.wikipedia.org/wiki/G%C3%A9rald_Darmanin	Ministre de l'Action et des Comptes publics
15	Vidal	Frédérique	F	REM	1	https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9rique_Vidal	Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation
16	Girardin	Annick	F	MR	1	https://fr.wikipedia.org/wiki/Annick_Girardin	Ministre des Outre-mer
17	Maracineanu	Roxana	F		1	https://fr.wikipedia.org/wiki/Roxana_Maracineanu	Ministre des Sports
18	Fesneau	Marc	H	MoDem	1	https://fr.wikipedia.org/wiki/Marc_Fesneau	Ministre auprès du premier ministre, chargé des Relations avec le Parlement
19	Borne	Élisabeth	F	REM	1	https://fr.wikipedia.org/wiki/%C3%89lisabeth_Borne	Ministre auprès du ministre d'État, ministre de la Transition écologique et solidaire, chargée des Transports
20	Loiseau	Nathalie 	F	REM	0	https://fr.wikipedia.org/wiki/Nathalie_Loiseau	.
21	Lecornu	Sébastien	H	REM	1	https://fr.wikipedia.org/wiki/S%C3%A9bastien_Lecornu	Ministre auprès de la ministre de la Cohésion des Territoires et des Relations avec les Collectivités Territoriales, chargé des collectivités territoriales
22	Denormandie	Julien	H	REM	1	https://fr.wikipedia.org/wiki/Julien_Denormandie	Ministre auprès de la ministre de la Cohésion des Territoires et des Relations avec les Collectivités Territoriales, chargé de la ville et du logement 
23	Griveaux	Benjamin 	H	REM	0	https://fr.wikipedia.org/wiki/Benjamin_Griveaux	.
24	Schiappa	Marlène	F	REM	1	https://fr.wikipedia.org/wiki/Marl%C3%A8ne_Schiappa	Secrétaire d'État auprès du premier ministre chargée de l'Égalité entre les femmes et les hommes et de la lutte contre les discriminations
25	Cluzel	Sophie	F		1	https://fr.wikipedia.org/wiki/Sophie_Cluzel	Secrétaire d'État auprès du premier ministre chargée des Personnes handicapées
26	Wargon	Emmanuelle	F		1	https://fr.wikipedia.org/wiki/Emmanuelle_Wargon	Secrétaire d'État auprès du ministre d'État, ministre de la Transition écologique et solidaire
27	Poirson	Brune	F	REM	1	https://fr.wikipedia.org/wiki/Brune_Poirson	Secrétaire d'État auprès du ministre d'État, ministre de la Transition écologique et solidaire
28	Lemoyne	Jean-Baptiste 	H	REM	1	https://fr.wikipedia.org/wiki/Jean-Baptiste_Lemoyne_(homme_politique)	Secrétaire d'État auprès du ministre de l'Europe et des Affaires étrangères
29	Darrieussecq	Geneviève	F	MoDem	1	https://fr.wikipedia.org/wiki/Genevi%C3%A8ve_Darrieussecq	Secrétaire d'État auprès de la ministre des Armées
30	Dubos	Christelle	F	REM	1	https://fr.wikipedia.org/wiki/Christelle_Dubos	Secrétaire d'État auprès de la ministre des Solidarités et de la Santé
31	Mahjoubi	Mounir	H	REM	0	https://fr.wikipedia.org/wiki/Mounir_Mahjoubi	.
32	Pannier-Runacher	Agnès	F	REM	1	https://fr.wikipedia.org/wiki/Agn%C3%A8s_Pannier-Runacher	Secrétaire d'État auprès du ministre de l'Économie et des Finances
33	Dussopt	Olivier	H	DVG	1	https://fr.wikipedia.org/wiki/Olivier_Dussopt	Secrétaire d'État auprès du ministre de l'Action et des Comptes publics
34	Attal	Gabriel	H	REM	1	https://fr.wikipedia.org/wiki/Gabriel_Attal	Secrétaire d'État auprès du ministre de l'Éducation nationale et de la Jeunesse
35	Nuñez	Laurent	H		1	https://fr.wikipedia.org/wiki/Laurent_Nu%C3%B1ez	Secrétaire d'État auprès du ministre de l'Intérieur
36	Taquet	Adrien	H	REM	1	https://fr.wikipedia.org/wiki/Adrien_Taquet	Secrétaire d'État auprès de la ministre des Solidarités et de la Santé
37	Collomb	Gérard	H	PS	0	https://fr.wikipedia.org/wiki/G%C3%A9rard_Collomb	.
38	Hulot	Nicolas	H		0	https://fr.wikipedia.org/wiki/Nicolas_Hulot	.
39	Mézard	Jacques	H	MR	0	https://fr.wikipedia.org/wiki/Jacques_M%C3%A9zard	.
40	Nyssen	Françoise	F		0	https://fr.wikipedia.org/wiki/Fran%C3%A7oise_Nyssen	.
41	Travert	Stéphane	H	REM	0	https://fr.wikipedia.org/wiki/St%C3%A9phane_Travert	.
42	Flessel-Colovic	Laura	F	REM	0	https://fr.wikipedia.org/wiki/Laura_Flessel-Colovic	.
43	Gény-Stephann	Delphine	F		0	https://fr.wikipedia.org/wiki/Delphine_G%C3%A9ny-Stephann	.
44	de Sarnez	Marielle	F	MoDem	0	https://fr.wikipedia.org/wiki/Marielle_de_Sarnez	.
45	Ferrand	Richard	H	REM	0	https://fr.wikipedia.org/wiki/Richard_Ferrand	.
46	Bayrou	François	H	MoDem	0	https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Bayrou	.
47	Goulard	Sylvie	F	REM	0	https://fr.wikipedia.org/wiki/Sylvie_Goulard	.
48	Raffarin	Jean-Pierre	H	LR	0	https://fr.wikipedia.org/wiki/Jean-Pierre_Raffarin	.
49	Cazeneuve	Bernard	H	PS	0	https://fr.wikipedia.org/wiki/Bernard_Cazeneuve	.
50	Breton	Thierry	H		0	https://fr.wikipedia.org/wiki/Thierry_Breton	.
51	Vallini	André	H	PS	0	https://fr.wikipedia.org/wiki/Andr%C3%A9_Vallini	.
52	Placé	Jean-Vincent	H	UDE	0	https://fr.wikipedia.org/wiki/Jean-Vincent_Plac%C3%A9	.
53	Méadel	Juliette	F	PS	0	https://fr.wikipedia.org/wiki/Juliette_M%C3%A9adel	.
54	Ayrault	Jean-Marc	H	PS	0	https://fr.wikipedia.org/wiki/Jean-Marc_Ayrault	.
55	Désir	Harlem	H	PS	0	https://fr.wikipedia.org/wiki/Harlem_D%C3%A9sir	.
56	Fekl	Matthias	H	PS	0	https://fr.wikipedia.org/wiki/Matthias_Fekl	.
57	Le Guen	Jean-Marie	H	PS	0	https://fr.wikipedia.org/wiki/Jean-Marie_Le_Guen	.
58	Royal	Ségolène	F	PS	0	https://fr.wikipedia.org/wiki/S%C3%A9gol%C3%A8ne_Royal	.
59	Vidalies	Alain	H	PS	0	https://fr.wikipedia.org/wiki/Alain_Vidalies	.
60	Pompili	Barbara	F	REM	0	https://fr.wikipedia.org/wiki/Barbara_Pompili	.
61	Vallaud-Belkacem	Najat	F	PS	0	https://fr.wikipedia.org/wiki/Najat_Vallaud-Belkacem	.
62	Mandon	Thierry	H	PS	0	https://fr.wikipedia.org/wiki/Thierry_Mandon	.
63	Sapin	Michel	H	PS	0	https://fr.wikipedia.org/wiki/Michel_Sapin	.
64	Eckert	Christian	H	PS	0	https://fr.wikipedia.org/wiki/Christian_Eckert	.
65	Lemaire	Axelle	F	PS	0	https://fr.wikipedia.org/wiki/Axelle_Lemaire	.
66	Pinville	Martine	F	PS	0	https://fr.wikipedia.org/wiki/Martine_Pinville	.
67	Sirugue	Christophe	H	PS	0	https://fr.wikipedia.org/wiki/Christophe_Sirugue	.
68	Touraine	Marisol	F	PS	0	https://fr.wikipedia.org/wiki/Marisol_Touraine	.
69	Neuville	Ségolène	F	PS	0	https://fr.wikipedia.org/wiki/S%C3%A9gol%C3%A8ne_Neuville	.
70	Boistard	Pascale	F	PS	0	https://fr.wikipedia.org/wiki/Pascale_Boistard	.
71	Todeschini	Jean-Marc	H	PS	0	https://fr.wikipedia.org/wiki/Jean-Marc_Todeschini	.
72	Urvoas	Jean-Jacques	H	PS	0	https://fr.wikipedia.org/wiki/Jean-Jacques_Urvoas	.
73	El Khomri	Myriam	F	PS	0	https://fr.wikipedia.org/wiki/Myriam_El_Khomri	.
74	Valter	Clotilde	F	PS	0	https://fr.wikipedia.org/wiki/Clotilde_Valter	.
75	Baylet	Jean-Michel	H	PRG	0	https://fr.wikipedia.org/wiki/Jean-Michel_Baylet	.
76	Grelier	Estelle	F	PS	0	https://fr.wikipedia.org/wiki/Estelle_Grelier	.
77	Leroux	Bruno	H	PS	0	https://fr.wikipedia.org/wiki/Bruno_Le_Roux	.
78	Le Foll	Stéphane	H	PS	0	https://fr.wikipedia.org/wiki/St%C3%A9phane_Le_Foll	.
79	Cosse	Emmanuelle	F	Parti écologiste	0	https://fr.wikipedia.org/wiki/Emmanuelle_Cosse	.
80	Azoulay	Audrey	F		0	https://fr.wikipedia.org/wiki/Audrey_Azoulay	.
81	Rossignol	Laurence	F	PS	0	https://fr.wikipedia.org/wiki/Laurence_Rossignol	.
82	Kanner	Patrick	H	PS	0	https://fr.wikipedia.org/wiki/Patrick_Kanner	.
83	Geoffroy	Hélène	F	PS	0	https://fr.wikipedia.org/wiki/H%C3%A9l%C3%A8ne_Geoffroy	.
84	Braillard	Thierry	H	PRG	0	https://fr.wikipedia.org/wiki/Thierry_Braillard	.
